"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
1342,"Canberra",3,"Quite Magical",6,4,"J Penza","P J Facoory",10.00,5.50,6.00,0.00,2.40,8.18,3,3,"2017-09-08 07:10:04","2017-09-08 07:10:04"
1398,"Geelong Synthetic",3,"Lily's Reward",4,8,"A Lynch","Steven Pateman",7.50,4.40,5.50,4.57,1.80,9.39,1,1,"2017-09-08 07:25:05","2017-09-08 07:25:05"
1418,"Tuncurry",4,"Spooky",15,13,"K Holding","Stephen Schofield",26.00,10.00,6.50,0.00,2.30,6.15,4,2,"2017-09-08 07:30:05","2017-09-08 07:30:05"
1455,"Beaudesert",3,"Schmidty",10,12,"N Keal","B J Dais",10.00,6.00,4.60,0.00,1.70,6.67,5,2,"2017-09-08 07:40:05","2017-09-08 07:40:05"
1490,"Canberra",4,"Tay Tay Taylor",12,3,"S Guymer","T J Wilson",16.00,8.00,9.50,0.00,2.40,6.25,3,3,"2017-09-08 07:50:04","2017-09-08 07:50:04"
1507,"Geelong Synthetic",4,"Spring Choice",8,9,"S Baster","L & T Corstens",4.40,3.40,2.70,0.00,1.28,6.68,7,NULL,"2017-09-08 07:55:05","2017-09-08 07:55:05"
1538,"Tuncurry",5,"Lucky Starlet",8,7,"C Graham","J A Sylvester",10.00,5.50,7.50,0.00,2.50,8.18,5,NULL,"2017-09-08 08:05:08","2017-09-08 08:05:08"
1567,"Beaudesert",4,"Salt Flat",2,2,"B Grylls","S R Kurz",4.80,3.60,4.00,5.62,1.60,6.94,2,1,"2017-09-08 08:15:05","2017-09-08 08:15:05"
1594,"Geelong Synthetic",5,"Esprit Finale",5,7,"S Thornton","Alan Hanrahan",12.00,6.50,0.00,0.00,0.00,7.05,2,NULL,"2017-09-08 08:25:05","2017-09-08 08:25:05"
1607,"Canberra",5,"Standoubt",5,7,"R Hunt","N J Olive",16.00,7.00,7.00,0.00,2.05,8.04,0,NULL,"2017-09-08 08:30:08","2017-09-08 08:30:08"
1652,"Beaudesert",5,"Lwazi",13,8,"S Lacy","B Robinson",18.00,8.00,7.50,9.08,2.40,6.94,4,1,"2017-09-08 08:50:05","2017-09-08 08:50:05"
