"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
8757,"Geraldton",4,"Born Regal",4,9,"T Stone","Fenella Martin",41.00,13.00,21.00,0.00,4.00,5.25,0,NULL,"2018-01-11 07:55:04","2018-01-11 07:55:04"
8758,"Geraldton",5,"Lady Satab",11,10,"M Autier","G B Spowart",23.00,9.50,13.00,0.00,3.40,6.18,2,3,"2018-01-11 08:35:04","2018-01-11 08:35:04"
8759,"Geraldton",7,"Paris Of Troy",5,12,"R Hill","G B Spowart",13.00,7.50,7.50,8.77,2.30,5.64,1,1,"2018-01-11 09:45:05","2018-01-11 09:45:05"
8760,"Hamilton",1,"Little Heath",4,3,"D Bates","Peter Hardacre",9.00,4.80,6.00,0.00,1.80,9.72,0,2,"2018-01-12 02:35:03","2018-01-12 02:35:03"
8761,"Wagga",2,"Nagging",4,1,"R Bensley","Mark Gee",6.00,4.60,5.50,0.00,2.15,5.07,2,NULL,"2018-01-12 02:40:04","2018-01-12 02:40:04"
8762,"Muswellbrook",1,"Dizzy Success",1,1,"R Thompson","A J Denham",4.60,3.00,2.70,0.00,1.25,11.59,0,2,"2018-01-12 02:55:04","2018-01-12 02:55:04"
8763,"Hamilton",2,"Missy Molace",11,11,"Jack Hill","T & K O'sullivan",6.00,4.40,2.80,0.00,1.30,6.06,0,2,"2018-01-12 03:05:04","2018-01-12 03:05:04"
8764,"Wagga",3,"Leica Bita Magic",3,2,"J Duffy","Andrew Dale",6.50,3.40,3.60,0.00,1.60,14.03,3,4,"2018-01-12 03:15:04","2018-01-12 03:15:04"
8765,"Muswellbrook",2,"Keeva",5,5,"R Murray","P M Perry",6.00,4.60,4.80,0.00,1.40,5.07,2,2,"2018-01-12 03:35:04","2018-01-12 03:35:04"
8766,"Gatton",1,"Red Doulton",7,7,"T Brooker","Natalie Mccall",6.50,4.40,3.60,3.10,1.80,7.34,6,1,"2018-01-12 03:45:04","2018-01-12 03:45:04"
8767,"Muswellbrook",3,"Rainover Manhattan",2,6,"M Bell","G Portelli",5.00,3.80,4.00,4.04,1.45,6.32,2,1,"2018-01-12 04:10:04","2018-01-12 04:10:04"
8768,"Hobart",2,"Cascade City",2,4,"S Carr","Sarah Cotton",4.40,3.00,2.80,0.00,1.26,10.61,3,NULL,"2018-01-12 04:25:04","2018-01-12 04:25:04"
8769,"Wagga",5,"Chief Of Arlington",4,2,"Simon Miller","Doug Gorrel",8.00,4.80,7.50,6.14,2.30,8.33,4,1,"2018-01-12 04:30:04","2018-01-12 04:30:04"
8770,"Port Macquarie",2,"Albert Of Monaco",1,4,"B Mcdougall","Angela Davies",4.40,3.60,2.70,4.36,1.35,5.05,0,1,"2018-01-12 04:35:04","2018-01-12 04:35:04"
8771,"Gatton",3,"Windmill Follies",3,5,"J Guthmann-Chester(A","Ms K Purdy",26.00,11.00,15.00,0.00,3.20,5.24,1,NULL,"2018-01-12 05:00:04","2018-01-12 05:00:04"
8772,"Hamilton",6,"Cheeky As",9,12,"D Yendall","D K Weir",5.00,3.60,3.00,0.00,1.40,7.78,1,NULL,"2018-01-12 05:05:04","2018-01-12 05:05:04"
8773,"Muswellbrook",5,"Tears Of Gold",8,5,"G Buckley","B F Cavanough",6.50,4.20,3.40,0.00,1.40,8.42,4,3,"2018-01-12 05:20:04","2018-01-12 05:20:04"
8774,"Gatton",4,"Destined For War",1,1,"D Graham","W P Baker",12.00,6.00,4.60,0.00,1.70,8.33,1,NULL,"2018-01-12 05:30:04","2018-01-12 05:30:04"
8775,"Hobart",4,"Jacques",4,7,"B Mccoull","Chris Crook & Imogen Miller",5.50,4.00,4.80,0.00,2.25,6.82,1,NULL,"2018-01-12 05:30:04","2018-01-12 05:30:04"
8776,"Hamilton",7,"Essence Prevail",6,12,"Jack Hill","R J Gilcrist",21.00,10.00,26.00,0.00,5.50,5.24,4,NULL,"2018-01-12 05:40:04","2018-01-12 05:40:04"
8777,"Wagga",7,"Taraahse",3,6,"Mathew Cahill","W G Carroll",8.00,4.40,4.00,0.00,1.70,10.23,2,NULL,"2018-01-12 05:40:04","2018-01-12 05:40:04"
8778,"Port Macquarie",4,"Poet's Blush",4,4,"B Mcdougall","T J Bartley",23.00,9.00,13.00,0.00,3.40,6.76,0,NULL,"2018-01-12 05:50:04","2018-01-12 05:50:04"
8779,"Gatton",5,"Alastriona",6,5,"R Plumb","David Joice",6.00,4.40,4.60,0.00,1.90,6.06,6,2,"2018-01-12 06:05:05","2018-01-12 06:05:05"
8780,"Hobart",5,"Tough Missile",6,2,"A Darmanin","Raymond Worbey",11.00,7.00,5.50,0.00,1.75,5.19,1,NULL,"2018-01-12 06:10:04","2018-01-12 06:10:04"
8781,"Wagga",8,"Zarreig",1,7,"J Richards","P S Clancy",15.00,6.50,8.50,0.00,2.80,8.72,2,NULL,"2018-01-12 06:20:04","2018-01-12 06:20:04"
8782,"Port Macquarie",5,"Lucciola Belle",4,12,"C Baker","W T Wilkes",4.00,3.00,1.90,0.00,1.15,8.33,6,4,"2018-01-12 06:25:04","2018-01-12 06:25:04"
8783,"Wagga",9,"Molasses",3,1,"Mathew Cahill","Dennis Bush",8.50,4.60,4.40,0.00,1.55,9.97,3,NULL,"2018-01-12 07:00:05","2018-01-12 07:00:05"
8784,"Port Macquarie",6,"Dew Drop",8,8,"B Looker","J A Sprague",12.00,4.80,5.50,0.00,2.00,12.50,3,NULL,"2018-01-12 07:20:05","2018-01-12 07:20:05"
8785,"Gatton",7,"Beach Drum",10,2,"R Williams","M A Kropp",17.00,9.00,3.80,4.04,1.60,5.23,6,1,"2018-01-12 07:55:06","2018-01-12 07:55:06"
8786,"Cranbourne",2,"South Arbor",9,4,"J Mcneil","R D Griffiths",7.50,5.00,5.50,0.00,1.85,6.67,8,4,"2018-01-12 07:55:06","2018-01-12 07:55:06"
8787,"Cranbourne",3,"Abyssinian",1,4,"Dwayne Dunn","E Jusufovic",8.00,4.60,3.80,3.94,1.55,9.24,2,1,"2018-01-12 08:05:06","2018-01-12 08:05:06"
8788,"Port Macquarie",8,"Patriot",4,4,"B Looker","J A Sprague",6.00,3.80,3.00,2.57,1.35,9.65,1,1,"2018-01-12 08:25:04","2018-01-12 08:25:04"
8789,"Cranbourne",4,"Think",12,3,"M Dee","D K Weir",4.40,3.60,3.00,0.00,1.30,5.05,3,3,"2018-01-12 08:35:07","2018-01-12 08:35:07"
8790,"Sunshine Coast",2,"Buxton",6,6,"A Sewell","Mark F Webb",4.60,3.40,3.80,0.00,1.85,7.67,2,3,"2018-01-12 08:55:04","2018-01-12 08:55:04"
8791,"Cranbourne",5,"Phenomenal Spirit",4,8,"J Noonan","G M Carson",71.00,15.00,11.00,0.00,2.90,5.26,3,NULL,"2018-01-12 09:05:08","2018-01-12 09:05:08"
8792,"Cranbourne",7,"Big Pat's Pontiac",3,1,"B Allen","N A Blackiston",6.50,4.80,0.00,0.00,0.00,5.45,4,NULL,"2018-01-12 10:10:06","2018-01-12 10:10:06"
8793,"Sunshine Coast",5,"Helfuchi",5,12,"Ron Stewart","Chris Munce",9.00,5.50,4.60,0.00,1.65,7.07,5,NULL,"2018-01-12 10:20:07","2018-01-12 10:20:07"
8794,"Cranbourne",8,"Stream Ahead",1,9,"S Brown","D C Harrison",23.00,10.00,0.00,0.00,0.00,5.65,4,NULL,"2018-01-12 10:35:08","2018-01-12 10:35:08"
8795,"Sunshine Coast",6,"Downloading",7,5,"Ron Stewart","R L Heathcote",4.00,3.30,2.65,0.00,1.25,5.30,2,2,"2018-01-12 10:55:07","2018-01-12 10:55:07"
8796,"Cranbourne",9,"She's Got Speed",13,9,"M Walker","D & B Hayes & T Dabernig",17.00,8.50,6.00,5.00,1.60,5.88,3,1,"2018-01-12 11:05:06","2018-01-12 11:05:06"
8797,"Flemington",1,"Train The Brave",8,5,"Dwayne Dunn","M Ellerton & S Zahra",9.00,6.00,7.50,0.00,3.00,5.56,2,NULL,"2018-01-13 01:35:03","2018-01-13 01:35:03"
8798,"Gold Coast",1,"Epic Rant",4,5,"B Shinn","Michael Costa",34.00,9.50,9.50,0.00,2.90,7.59,5,NULL,"2018-01-13 01:50:05","2018-01-13 01:50:05"
8799,"Trentham",4,"Rube Bridges",9,4,"Danielle Johnson","S B Marsh",3.60,3.00,2.30,0.00,1.25,5.56,1,NULL,"2018-01-13 02:00:05","2018-01-13 02:00:05"
8800,"Werribee",1,"Ruby's Reward",9,10,"S Vella","Kylie Vella",8.00,5.50,4.20,0.00,1.65,5.68,2,NULL,"2018-01-13 02:00:05","2018-01-13 02:00:05"
8801,"Randwick",1,"So It Is",6,9,"J Ford","E & L Longmire",9.00,6.00,5.50,0.00,2.00,5.56,0,NULL,"2018-01-13 02:00:05","2018-01-13 02:00:05"
8802,"Flemington",2,"Pretty Punk",5,1,"Craig Williams","L Macdonald & A Gluyas",4.60,3.60,3.60,3.62,1.85,6.04,0,1,"2018-01-13 02:15:03","2018-01-13 02:15:03"
8803,"Queanbeyan",1,"Greenback Boogie",6,1,"A Banks","V Suraci",4.80,3.80,3.40,0.00,1.35,5.48,0,2,"2018-01-13 02:50:04","2018-01-13 02:50:04"
8804,"Gold Coast",2,"Trust Me",10,15,"T Angland","B A Partelle",9.00,6.00,7.00,0.00,2.50,5.56,5,NULL,"2018-01-13 02:50:05","2018-01-13 02:50:05"
8805,"Werribee",2,"Evie's Pearl",3,2,"S Karlsson","B J Mccarthy",17.00,9.00,13.00,0.00,2.90,5.23,5,2,"2018-01-13 02:50:05","2018-01-13 02:50:05"
8806,"Randwick",2,"Lightz",3,8,"B Mcdougall","J & G Lee",13.00,7.50,6.00,0.00,1.95,5.64,2,NULL,"2018-01-13 02:50:05","2018-01-13 02:50:05"
8807,"Ipswich",1,"Champagne Garden",3,5,"L Dittman","J W Zielke",4.40,3.50,2.50,0.00,1.18,5.84,1,2,"2018-01-13 02:50:05","2018-01-13 02:50:05"
8808,"Kembla Grange",2,"Roya's Dream",6,4,"J Grisedale","K J Parker",13.00,7.50,9.50,10.76,3.00,5.64,1,1,"2018-01-13 02:50:06","2018-01-13 02:50:06"
8809,"Flemington",3,"Jacquinot Bay",3,1,"C Parish","D & B Hayes & T Dabernig",4.40,3.20,4.20,4.46,1.55,8.52,0,1,"2018-01-13 02:50:06","2018-01-13 02:50:06"
8810,"Gold Coast",3,"I'm A Rippa",12,14,"S Baster","T J Gollan",12.00,6.00,6.00,6.77,2.25,8.33,5,1,"2018-01-13 02:55:04","2018-01-13 02:55:04"
8811,"Werribee",3,"Jindivik",16,1,"B Park","Michael Huglin",34.00,8.50,7.50,0.00,2.30,8.82,5,2,"2018-01-13 03:05:04","2018-01-13 03:05:04"
8812,"Randwick",3,"Waking Moment",6,2,"B Mcdougall","John Thompson",18.00,9.00,7.00,0.00,2.20,5.56,0,2,"2018-01-13 03:10:04","2018-01-13 03:10:04"
8813,"Ipswich",2,"My Little Flicka",4,2,"R Wiggins","L G Ross",5.50,4.00,0.00,0.00,0.00,6.82,1,NULL,"2018-01-13 03:15:03","2018-01-13 03:15:03"
8814,"Kembla Grange",3,"Captain Manering",9,5,"B Ryan","Ms G Markwell",14.00,7.50,5.00,0.00,1.80,6.19,1,4,"2018-01-13 03:20:05","2018-01-13 03:20:05"
8815,"Flemington",4,"Tagreeda",4,7,"J Noonan","M G Price",8.00,5.50,7.00,0.00,2.30,5.68,1,3,"2018-01-13 03:25:03","2018-01-13 03:25:03"
8816,"Gold Coast",4,"Reneged",12,4,"J Kah","John Thompson",26.00,11.00,11.00,0.00,3.20,5.24,3,NULL,"2018-01-13 03:30:04","2018-01-13 03:30:04"
8817,"Flemington",5,"Crystal Spirit",5,3,"S Thornton","M Ellerton & S Zahra",5.00,3.30,2.40,0.00,1.40,10.30,3,2,"2018-01-13 04:00:04","2018-01-13 04:00:04"
8818,"Queanbeyan",4,"Respun",10,1,"S Guymer","Peter D Green",5.00,3.60,2.60,0.00,1.15,7.78,2,2,"2018-01-13 04:40:15","2018-01-13 04:40:15"
8819,"Gold Coast",5,"Merriest",8,3,"D Oliver","D T O'brien",9.50,6.00,6.00,0.00,2.25,6.14,5,NULL,"2018-01-13 04:40:16","2018-01-13 04:40:16"
8820,"Werribee",5,"Cheeky Chinchilla",6,4,"J Fry","Jason Hunter",9.00,6.00,6.00,0.00,2.05,5.56,0,2,"2018-01-13 04:40:16","2018-01-13 04:40:16"
8821,"Randwick",5,"Reward For Fashion",11,5,"J Innes","T R Martin",5.50,3.00,4.80,0.00,2.25,15.15,4,4,"2018-01-13 04:40:16","2018-01-13 04:40:16"
8822,"Kembla Grange",5,"High Tranquility",3,2,"K Latham","J G Sargent",3.80,3.00,4.20,4.36,1.70,7.02,1,1,"2018-01-13 04:40:16","2018-01-13 04:40:16"
8823,"Flemington",6,"Strykinglee",12,2,"M Zahra","M M Laurie",6.50,4.60,5.50,0.00,2.10,6.35,3,3,"2018-01-13 04:40:17","2018-01-13 04:40:17"
8824,"Queanbeyan",5,"Yarragee Road",7,10,"W Peel","Peter Afflick",9.50,5.50,5.00,0.00,1.90,7.66,1,3,"2018-01-13 05:20:06","2018-01-13 05:20:06"
8825,"Gold Coast",6,"Care To Think",11,16,"J Lloyd","M J Dunn",3.70,3.10,3.20,3.20,1.55,5.23,3,1,"2018-01-13 05:20:07","2018-01-13 05:20:07"
8826,"Glen Innes",4,"Love Time",7,3,"A Chau","P J Cunningham",5.50,4.20,3.80,5.72,1.55,5.63,1,1,"2018-01-13 05:20:07","2018-01-13 05:20:07"
8827,"Gawler",3,"Modulate",1,5,"P Gatt","R R Jolly",8.50,5.50,4.20,3.73,1.60,6.42,1,1,"2018-01-13 05:20:07","2018-01-13 05:20:07"
8828,"Werribee",6,"It Could Be You",12,7,"N Beriman","G C Strang",9.00,6.00,6.00,0.00,2.25,5.56,1,2,"2018-01-13 05:20:08","2018-01-13 05:20:08"
8829,"Randwick",6,"Morton's Fork",3,5,"G Schofield","James Cummings",4.60,3.40,4.40,0.00,2.00,7.67,2,2,"2018-01-13 05:20:08","2018-01-13 05:20:08"
8830,"Kembla Grange",6,"Only Tiger",1,7,"K Latham","J G Sargent",9.00,6.00,21.00,0.00,4.40,5.56,4,3,"2018-01-13 05:20:09","2018-01-13 05:20:09"
8831,"Queanbeyan",6,"Smiling All",3,2,"B Loy","Donna Grisedale",31.00,10.00,8.50,0.00,2.40,6.77,0,3,"2018-01-13 06:00:05","2018-01-13 06:00:05"
8832,"Gold Coast",7,"Whypeeo",3,14,"B Shinn","A J Edmonds",21.00,8.50,9.00,0.00,2.80,7.00,2,4,"2018-01-13 06:00:06","2018-01-13 06:00:06"
8833,"Glen Innes",5,"Mishani Stealth",2,2,"M Paget","S W Edmonds",6.50,4.40,7.00,0.00,3.00,7.34,1,2,"2018-01-13 06:00:07","2018-01-13 06:00:07"
8834,"Werribee",7,"Bank Street",3,10,"J Fry","Andrew Payne",5.50,4.20,5.50,0.00,1.95,5.63,2,NULL,"2018-01-13 06:00:07","2018-01-13 06:00:07"
8835,"Ascot",2,"She's A Galah",11,5,"P Knuckey","Martin Allan",17.00,9.00,17.00,0.00,4.60,5.23,0,3,"2018-01-13 06:00:08","2018-01-13 06:00:08"
8836,"Randwick",7,"Samadoubt",8,3,"R King","Bjorn Baker",4.40,3.00,2.40,0.00,1.16,10.61,3,2,"2018-01-13 06:00:08","2018-01-13 06:00:08"
8837,"Darwin",1,"Ejaytee",4,5,"W Davis","Ms K Petrick",6.50,4.80,5.00,0.00,2.30,5.45,0,NULL,"2018-01-13 06:00:09","2018-01-13 06:00:09"
8838,"Flemington",8,"Princefamous",2,10,"M Zahra","P & P Snowden",5.00,3.60,4.20,0.00,1.65,7.78,1,NULL,"2018-01-13 06:00:09","2018-01-13 06:00:09"
8839,"Albany",2,"Mystic Pindan",10,7,"S Mcgruddy","S J Wolfe",4.40,3.60,3.80,0.00,1.50,5.05,1,2,"2018-01-13 06:00:10","2018-01-13 06:00:10"
8840,"Queanbeyan",7,"Gaelic Bolt",4,7,"J Richards","N J Osborne",8.50,4.80,11.00,0.00,2.90,9.07,2,NULL,"2018-01-13 06:45:06","2018-01-13 06:45:06"
8841,"Glen Innes",6,"Ensign",9,11,"C Dougherty","Jason Reilly",26.00,11.00,15.00,0.00,4.20,5.24,4,NULL,"2018-01-13 06:45:06","2018-01-13 06:45:06"
8842,"Gawler",5,"Classy Jack",2,6,"R Clark","J E Hickmott",9.00,5.00,5.50,0.00,2.05,8.89,4,NULL,"2018-01-13 06:45:07","2018-01-13 06:45:07"
8843,"Werribee",8,"Let 'Em Howl",7,4,"D Moor","Brent Stanley",5.50,3.70,5.50,0.00,2.30,8.85,8,NULL,"2018-01-13 06:45:07","2018-01-13 06:45:07"
8844,"Ascot",3,"Flash Of Thunder",2,6,"C Johnston-Porter","A G Durrant",8.50,5.00,7.00,0.00,1.95,8.24,2,NULL,"2018-01-13 06:45:08","2018-01-13 06:45:08"
8845,"Darwin",2,"Poet's Choice",1,3,"P Denton","Ms K Petrick",13.00,7.50,8.00,0.00,3.00,5.64,0,2,"2018-01-13 07:55:09","2018-01-13 07:55:09"
8846,"Flemington",9,"Royal Fashion",10,15,"A Mallyon","D & B Hayes & T Dabernig",11.00,6.50,7.50,0.00,2.60,6.29,0,NULL,"2018-01-13 07:55:10","2018-01-13 07:55:10"
8847,"Albany",3,"Rowie",7,5,"L Staples","Stephen Sheehy",26.00,9.50,11.00,0.00,2.40,6.68,0,NULL,"2018-01-13 07:55:10","2018-01-13 07:55:10"
8848,"Gold Coast",9,"Egyptian Symbol",9,7,"J Collett","Bjorn Baker",6.50,4.80,2.90,0.00,1.30,5.45,5,3,"2018-01-13 07:55:10","2018-01-13 07:55:10"
8849,"Gawler",6,"My Nikita",8,4,"D Yendall","D K Weir",4.60,3.70,2.80,0.00,1.35,5.29,0,NULL,"2018-01-13 07:55:11","2018-01-13 07:55:11"
8850,"Randwick",9,"Emperor's Way",9,1,"G Schofield","P & P Snowden",5.00,3.80,4.20,4.25,1.70,6.32,3,1,"2018-01-13 07:55:11","2018-01-13 07:55:11"
8851,"Darwin",3,"Windfola",7,10,"M Hagley","Patrick Johnston",31.00,8.00,11.00,0.00,3.00,9.27,3,4,"2018-01-13 08:30:08","2018-01-13 08:30:08"
8852,"Queanbeyan",8,"To A Degree",3,8,"J Richards","Robert Anderson",4.80,3.20,2.90,0.00,1.26,10.42,0,3,"2018-01-13 08:30:09","2018-01-13 08:30:09"
8853,"Toowoomba",1,"Sir Bam",4,4,"H English","T J Dougall",9.00,6.00,3.20,0.00,1.40,5.56,2,2,"2018-01-13 08:30:10","2018-01-13 08:30:10"
8854,"Gawler",7,"Folk Tales",5,2,"C Caserta","Richard Laming",5.00,3.40,3.40,0.00,1.45,9.41,1,2,"2018-01-13 08:30:11","2018-01-13 08:30:11"
8855,"Ascot",5,"Veuve De Vega",3,1,"T Stone","S R Casey",81.00,15.00,15.00,0.00,3.40,5.43,0,NULL,"2018-01-13 08:30:11","2018-01-13 08:30:11"
8856,"Darwin",4,"More Than Frank",1,5,"P Denton","Ms K Petrick",21.00,10.00,13.00,0.00,4.60,5.24,0,NULL,"2018-01-13 08:30:12","2018-01-13 08:30:12"
8857,"Toowoomba",2,"Pic's Pearl",9,1,"N Tomizawa","K R Kemp",34.00,10.00,13.00,0.00,3.00,7.06,2,NULL,"2018-01-13 08:30:12","2018-01-13 08:30:12"
8858,"Albany",5,"Jester Ferrari",10,6,"S Mcgruddy","S J Wolfe",4.40,3.20,0.00,0.00,0.00,8.52,2,NULL,"2018-01-13 08:30:13","2018-01-13 08:30:13"
8859,"Gawler",8,"Infinity Queen",5,1,"C Caserta","Ryan Balfour",9.00,5.50,10.00,0.00,3.00,7.07,4,NULL,"2018-01-13 08:30:13","2018-01-13 08:30:13"
8860,"Ascot",6,"Santiago Gal",9,14,"S O'donnell","Ms J Erkelens",12.00,7.00,6.50,0.00,2.30,5.95,0,NULL,"2018-01-13 08:30:13","2018-01-13 08:30:13"
8861,"Toowoomba",3,"Dream Of Ascot",4,2,"N Keal","K R Kemp",4.20,3.20,2.70,0.00,1.55,7.44,1,2,"2018-01-13 08:30:13","2018-01-13 08:30:13"
8862,"Albany",6,"Uptown Funk",7,3,"R Tan","J D Jachmann",6.00,4.60,7.00,0.00,2.10,5.07,1,NULL,"2018-01-13 08:35:08","2018-01-13 08:35:08"
8863,"Toowoomba",4,"Wicked Trilogy",6,1,"B Nothdurft","Ben Currie",4.80,3.80,3.00,0.00,1.65,5.48,0,3,"2018-01-13 09:05:08","2018-01-13 09:05:08"
8864,"Ascot",8,"Ragazzo D'oro",7,1,"J Azzopardi","D R Harrison",6.50,4.60,6.00,0.00,2.20,6.35,1,NULL,"2018-01-13 09:35:08","2018-01-13 09:35:08"
8865,"Toowoomba",5,"Benicstress",1,7,"G Geran","N J Petersen",31.00,11.00,11.00,0.00,2.80,5.87,4,2,"2018-01-13 09:45:11","2018-01-13 09:45:11"
8866,"Toowoomba",6,"Supervisor",5,7,"T Williams","H R Richardson",15.00,7.50,7.50,0.00,2.05,6.67,6,NULL,"2018-01-13 10:20:10","2018-01-13 10:20:10"
8867,"Ballarat",1,"La Parva",5,6,"Dwayne Dunn","James Cummings",7.00,5.00,4.60,3.83,2.15,5.71,2,1,"2018-01-14 02:05:02","2018-01-14 02:05:02"
8868,"Port Lincoln",1,"Sheza Prophet",8,8,"R Clark","Ms J Branford",31.00,11.00,9.50,0.00,1.90,5.87,0,NULL,"2018-01-14 02:20:03","2018-01-14 02:20:03"
8869,"Coffs Harbour",1,"Rosy Elsie",4,2,"P Graham","J L Jarvis",17.00,6.50,5.00,0.00,2.30,9.50,0,3,"2018-01-14 02:35:04","2018-01-14 02:35:04"
8870,"Ballarat",2,"Teardrops",11,10,"R Maloney","A J Vasil",34.00,6.00,15.00,0.00,3.00,13.73,1,NULL,"2018-01-14 02:40:03","2018-01-14 02:40:03"
8871,"Port Lincoln",2,"Foto Art",8,9,"C Davies","T H Jolly",23.00,9.50,21.00,0.00,4.00,6.18,0,3,"2018-01-14 02:55:02","2018-01-14 02:55:02"
8872,"Wellington",1,"Sons Of Bourke",3,4,"Not Notified","C Lundholm",4.20,3.40,4.40,0.00,1.60,5.60,1,3,"2018-01-14 03:05:04","2018-01-14 03:05:04"
8873,"Coffs Harbour",2,"Single Image",4,8,"R Spokes","P A Smith",10.00,6.50,6.50,6.35,2.05,5.38,2,1,"2018-01-14 03:10:03","2018-01-14 03:10:03"
8874,"Ballarat",3,"Matriarchal",7,2,"D Yendall","D K Weir",7.50,5.00,7.00,0.00,1.85,6.67,0,NULL,"2018-01-14 03:20:03","2018-01-14 03:20:03"
8875,"Sunshine Coast",1,"Full Diamond",3,4,"P Hammersley","Steven O'dea",13.00,7.50,7.00,0.00,2.15,5.64,1,3,"2018-01-14 03:20:03","2018-01-14 03:20:03"
8876,"Port Lincoln",3,"Lady Conquistador",6,7,"S Fawke","Simon Drewitt",5.00,3.60,4.80,0.00,1.75,7.78,2,NULL,"2018-01-14 03:30:02","2018-01-14 03:30:02"
8877,"Wellington",2,"Redirect",7,1,"A Banks","Ms G Williams",6.00,4.60,7.00,0.00,1.90,5.07,1,3,"2018-01-14 03:35:04","2018-01-14 03:35:04"
8878,"Coffs Harbour",3,"Elusive Tycoon",6,1,"S Traecey","Donna Stoddart",16.00,7.00,7.00,0.00,1.90,8.04,3,4,"2018-01-14 03:45:03","2018-01-14 03:45:03"
8879,"Sunshine Coast",2,"Ragazzo Del Corsa",4,4,"Michael Cahill","Alan L Jones",18.00,9.00,7.50,0.00,3.00,5.56,2,3,"2018-01-14 03:55:03","2018-01-14 03:55:03"
8880,"Port Lincoln",4,"Heza Gunn",3,6,"B Paterson","Ms S Williams",6.00,4.60,5.50,0.00,2.00,5.07,0,4,"2018-01-14 04:05:03","2018-01-14 04:05:03"
8881,"Coffs Harbour",4,"Mon Cheri",9,1,"B Looker","B D Bellamy",7.50,5.00,3.20,0.00,1.45,6.67,3,2,"2018-01-14 04:20:03","2018-01-14 04:20:03"
8882,"Ballarat",5,"Three Strykes",9,8,"J Mcneil","S Morrish",14.00,7.50,13.00,0.00,2.70,6.19,3,NULL,"2018-01-14 04:30:03","2018-01-14 04:30:03"
8883,"Sunshine Coast",3,"Teyssier",6,4,"B Stewart","S W Kendrick",4.20,3.00,3.80,0.00,1.40,9.52,1,3,"2018-01-14 04:35:03","2018-01-14 04:35:03"
8884,"Port Lincoln",5,"Oblique Line",7,8,"R Clark","J Dunn",5.50,3.60,3.20,0.00,1.40,9.60,0,NULL,"2018-01-14 04:40:04","2018-01-14 04:40:04"
8885,"Wellington",4,"Strada Lane",16,3,"E Webster-Hawes","Peter W Stanley",101.00,13.00,31.00,0.00,5.50,6.70,4,NULL,"2018-01-14 04:45:03","2018-01-14 04:45:03"
8886,"Coffs Harbour",5,"Eddy Would Go",7,13,"P Graham","T G Hardy",7.00,5.00,6.50,0.00,2.30,5.71,0,NULL,"2018-01-14 04:55:03","2018-01-14 04:55:03"
8887,"Ballarat",6,"Kaptive Hero",8,11,"J Mcneil","R D Griffiths",4.40,3.20,3.00,0.00,1.40,8.52,5,2,"2018-01-14 05:00:03","2018-01-14 05:00:03"
8888,"Port Lincoln",6,"Eye The World",3,5,"J Potter","Ryan Dawson",6.50,4.00,6.00,0.00,2.60,9.62,1,3,"2018-01-14 05:15:03","2018-01-14 05:15:03"
8889,"Coffs Harbour",6,"Victory Lass",1,12,"C Schmidt","T G Payne",4.60,3.40,6.50,0.00,2.30,7.67,2,NULL,"2018-01-14 05:30:04","2018-01-14 05:30:04"
8890,"Ballarat",7,"In Fairness",4,7,"D Thornton","S Fliedner",16.00,8.00,9.50,0.00,2.60,6.25,1,NULL,"2018-01-14 05:35:04","2018-01-14 05:35:04"
8891,"Pinjarra",3,"Brooking Springs",7,4,"T Turner","C H Webster",26.00,11.00,13.00,0.00,3.60,5.24,0,NULL,"2018-01-14 05:50:04","2018-01-14 05:50:04"
8892,"Port Lincoln",7,"Oratini",5,6,"A Jordsjo","D J Mcmahon",14.00,6.00,5.00,0.00,2.30,9.52,2,4,"2018-01-14 05:50:04","2018-01-14 05:50:04"
8893,"Wellington",6,"Eagles Dare",4,10,"A Banks","M E Jones",9.00,6.00,6.00,0.00,2.10,5.56,2,3,"2018-01-14 06:00:04","2018-01-14 06:00:04"
8894,"Coffs Harbour",7,"Mishani Honcho",4,6,"M Paget","S W Edmonds",4.60,3.60,4.00,4.25,1.40,6.04,2,1,"2018-01-14 06:05:04","2018-01-14 06:05:04"
8895,"Ballarat",8,"Bugle Call",6,8,"R Mcleod","M D Moroney",20.00,9.50,8.00,0.00,2.30,5.53,5,4,"2018-01-14 06:10:04","2018-01-14 06:10:04"
8896,"Sunshine Coast",6,"Shelter Lady",1,2,"S Lacy","P H Duncan",4.80,3.60,2.90,0.00,1.40,6.94,2,2,"2018-01-14 06:20:03","2018-01-14 06:20:03"
8897,"Pinjarra",4,"Frequenter",10,4,"B Kirby","Ms J Mitchell",21.00,10.00,5.00,0.00,1.65,5.24,0,NULL,"2018-01-14 06:25:04","2018-01-14 06:25:04"
8898,"Port Lincoln",8,"Slide Of Hand",3,8,"A Chan","Jackie Stoetzer",7.00,3.80,3.20,0.00,1.40,12.03,4,2,"2018-01-14 06:30:04","2018-01-14 06:30:04"
8899,"Wellington",7,"London Cab",7,3,"Mathew Cahill","M C Lynch",4.60,3.20,3.80,0.00,1.55,9.51,1,2,"2018-01-14 06:30:05","2018-01-14 06:30:05"
8900,"Coffs Harbour",8,"Manhattan Road",7,1,"M Weir","W J Gavenlock",4.40,3.40,3.40,0.00,1.40,6.68,2,2,"2018-01-14 06:40:04","2018-01-14 06:40:04"
